更新时间,#genre#
CCTV-5+,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$订阅源
CCTV-5+,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/yinhe/88888888/224/3221225603/index.m3u8$订阅源
CCTV-5+,http://36.35.16.98:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-5+,http://101.68.81.44:9999/rtp/233.50.201.220:5140$浙江联通组播源|1920x1080
CCTV-5+,http://60.189.165.36:5555/rtp/233.50.201.220:5140$浙江电信组播源|1920x1080
CCTV-5+,http://120.55.49.231:3095/rtp/233.50.201.220:5140$浙江电信组播源
CCTV-5+,http://115.220.243.30:9999/rtp/233.50.201.220:5140$浙江电信组播源|1920x1080
CCTV-5+,http://115.230.188.101:9999/rtp/233.50.201.220:5140$浙江电信组播源|1920x1080
CCTV-5+,http://121.233.190.83:8600/rtp/239.49.8.137:6000$江苏电信组播源|1920x1080
CCTV-5+,http://49.79.76.196:4000/rtp/239.49.8.137:6000$江苏电信组播源|1920x1080
CCTV-5+,http://49.86.209.44:8800/rtp/239.49.8.137:6000$江苏电信组播源|1920x1080
CCTV-5+,http://114.232.146.116:7777/rtp/239.49.8.137:6000$江苏电信组播源|1920x1080
CCTV-5+,http://121.224.240.233:8887/rtp/239.49.8.137:6000$江苏电信组播源|1920x1080
CCTV-6,http://223.151.49.74:59901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-6,http://39.98.201.151:9090/udp/225.1.8.90:8000$订阅源
CCTV-6,http://58.216.229.130:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-6,http://119.163.57.184:9901/tsfile/live/0006_2.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-6,http://124.128.73.58:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-6,http://121.24.98.154:8090/hls/14/index.m3u8$订阅源
CCTV-6,http://[2409:8087:74d9:21::6]/270000001128/9900000006/index.m3u8$订阅源
CCTV-6,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000001000001737/index.m3u8?channel-id=ystenlive&Contentid=1000000001000001737&livemode=1&stbId=no$订阅源|1920x1080
CCTV-6,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226148/index.m3u8$订阅源
CCTV-6,http://122.139.47.206:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源|1920x1080
CCTV-6,http://101.68.81.44:9999/rtp/233.50.201.198:5140$浙江联通组播源|1920x1080
CCTV-6,http://60.189.165.36:5555/rtp/233.50.201.198:5140$浙江电信组播源|1920x1080
CCTV-6,http://120.55.49.231:3095/rtp/233.50.201.198:5140$浙江电信组播源
CCTV-6,http://115.220.243.30:9999/rtp/233.50.201.198:5140$浙江电信组播源|1920x1080
CCTV-6,http://115.230.188.101:9999/rtp/233.50.201.198:5140$浙江电信组播源|1920x1080
CCTV-6,http://60.189.165.36:5555/rtp/233.50.201.18:5140$浙江电信组播源|1920x1080
CCTV-6,http://120.55.49.231:3095/rtp/233.50.201.18:5140$浙江电信组播源
CCTV-6,http://115.220.243.30:9999/rtp/233.50.201.18:5140$浙江电信组播源|1920x1080
CCTV-6,http://115.230.188.101:9999/rtp/233.50.201.18:5140$浙江电信组播源|1920x1080
CCTV-6,http://121.233.190.83:8600/rtp/239.49.9.33:6000$江苏电信组播源|1920x1080
CCTV-7,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8$订阅源
CCTV-7,http://fangke.blueswords.com:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://kxrj.site:998/123/mg.php?id=cctv7$订阅源
CCTV-7,http://123.166.61.70:8003/hls/42/index.m3u8$订阅源
CCTV-7,http://61.136.67.238:50085/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://183.223.157.33:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://110.177.146.171:888/udp/239.1.1.14:8014$订阅源|1920x1080
CCTV-7,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3$订阅源
CCTV-7,http://119.163.63.188:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-7,http://219.159.194.108:8181/tsfile/live/0007_1.m3u8$订阅源
CCTV-7,http://101.68.81.44:9999/rtp/233.50.201.120:5140$浙江联通组播源|1920x1080
CCTV-7,http://60.189.165.36:5555/rtp/233.50.201.120:5140$浙江电信组播源|1920x1080
CCTV-7,http://120.55.49.231:3095/rtp/233.50.201.120:5140$浙江电信组播源
CCTV-7,http://115.220.243.30:9999/rtp/233.50.201.120:5140$浙江电信组播源|1920x1080
CCTV-7,http://115.230.188.101:9999/rtp/233.50.201.120:5140$浙江电信组播源|1920x1080
CCTV-7,http://60.189.165.36:5555/rtp/233.50.201.7:5140$浙江电信组播源|1920x1080
CCTV-7,http://120.55.49.231:3095/rtp/233.50.201.7:5140$浙江电信组播源
CCTV-7,http://115.220.243.30:9999/rtp/233.50.201.7:5140$浙江电信组播源|1920x1080
CCTV-7,http://115.230.188.101:9999/rtp/233.50.201.7:5140$浙江电信组播源|1920x1080
CCTV-7,http://121.233.190.83:8600/rtp/239.49.8.132:6000$江苏电信组播源|1920x1080
CCTV-8,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226008/index.m3u8$订阅源
CCTV-8,http://218.3.138.25:1111/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-8,http://[2409:8087:1a01:df::4051]/TVOD/88888888/224/3221225795/main.m3u8$订阅源
CCTV-8,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221226008/2.m3u8$订阅源
CCTV-8,http://1.24.190.98:10089/hls/15/index.m3u8$订阅源|1920x1080
CCTV-8,http://[2409:8087:74d9:21::6]/270000001128/9900000008/index.m3u8$订阅源
CCTV-8,http://219.159.194.66:8181/tsfile/live/faacts/0008_1.m3u8$订阅源|1920x1080
CCTV-8,http://113.25.70.59:8891/udp/239.1.1.15:8015$订阅源|1920x1080
CCTV-8,http://171.8.138.74:85/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源|1920x1080
CCTV-8,http://kxrj.site:998/123/mg.php?id=cctv8$订阅源
CCTV-8,http://101.68.81.44:9999/rtp/233.50.201.199:5140$浙江联通组播源|1920x1080
CCTV-8,http://60.189.165.36:5555/rtp/233.50.201.199:5140$浙江电信组播源|1920x1080
CCTV-8,http://120.55.49.231:3095/rtp/233.50.201.199:5140$浙江电信组播源
CCTV-8,http://115.220.243.30:9999/rtp/233.50.201.199:5140$浙江电信组播源|1920x1080
CCTV-8,http://115.230.188.101:9999/rtp/233.50.201.199:5140$浙江电信组播源|1920x1080
CCTV-8,http://60.189.165.36:5555/rtp/233.50.201.19:5140$浙江电信组播源|1920x1080
CCTV-8,http://120.55.49.231:3095/rtp/233.50.201.19:5140$浙江电信组播源
CCTV-8,http://115.220.243.30:9999/rtp/233.50.201.19:5140$浙江电信组播源|1920x1080
CCTV-8,http://115.230.188.101:9999/rtp/233.50.201.19:5140$浙江电信组播源|1920x1080
CCTV-8,http://121.233.190.83:8600/rtp/239.49.9.34:6000$江苏电信组播源|1920x1080
CCTV-9,http://[2409:8087:1a01:df::7005]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$订阅源
CCTV-9,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225734/index.m3u8$订阅源
CCTV-9,http://116.117.105.31:8096/tsfile/live/0009_1.m3u8$订阅源
CCTV-9,http://61.163.181.78:9901/tsfile/live/0009_1.m3u8$订阅源
CCTV-9,http://58.48.5.186:1111/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-9,http://119.163.199.98:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-9,http://60.12.183.46:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源
CCTV-9,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8$订阅源
CCTV-9,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225734/index.m3u8$订阅源
CCTV-9,http://39.98.201.151:9090/udp/225.1.8.109:8032$订阅源
CCTV-9,http://101.68.81.44:9999/rtp/233.50.201.121:5140$浙江联通组播源|1920x1080
CCTV-9,http://60.189.165.36:5555/rtp/233.50.201.121:5140$浙江电信组播源|1920x1080
CCTV-9,http://120.55.49.231:3095/rtp/233.50.201.121:5140$浙江电信组播源
CCTV-9,http://115.220.243.30:9999/rtp/233.50.201.121:5140$浙江电信组播源|1920x1080
CCTV-9,http://115.230.188.101:9999/rtp/233.50.201.121:5140$浙江电信组播源|1920x1080
CCTV-9,http://121.233.190.83:8600/rtp/239.49.8.133:6000$江苏电信组播源|1920x1080
CCTV-9,http://49.79.76.196:4000/rtp/239.49.8.133:6000$江苏电信组播源|1920x1080
CCTV-9,http://49.86.209.44:8800/rtp/239.49.8.133:6000$江苏电信组播源|1920x1080
CCTV-9,http://114.232.146.116:7777/rtp/239.49.8.133:6000$江苏电信组播源|1920x1080
CCTV-9,http://121.224.240.233:8887/rtp/239.49.8.133:6000$江苏电信组播源|1920x1080
CCTV-10,http://124.128.73.58:9901/tsfile/live/0010_1.m3u8$订阅源
CCTV-10,http://222.218.158.86:8181/tsfile/live/0010_1.m3u8$订阅源|1920x1080
CCTV-10,http://[2409:8087:1a01:df::4027]/TVOD/88888888/224/3221226128/main.m3u8$订阅源
CCTV-10,http://[2409:8087:1a01:df::4077]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8$订阅源
CCTV-10,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8$订阅源
CCTV-10,http://110.177.146.171:888/udp/239.1.1.17:8017$订阅源|1920x1080
CCTV-10,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/1.m3u8?icpid=88888888&from=1&hms_devid=1012&vqe=3$订阅源
CCTV-10,http://[2409:8087:74d9:21::6]/000000001000PLTV/88888888/224/3221226164/index.m3u8$订阅源
CCTV-10,http://121.24.98.154:8090/hls/18/index.m3u8$订阅源
CCTV-10,http://113.25.70.59:8891/udp/239.1.1.17:8017$订阅源|1920x1080
CCTV-10,http://101.68.81.44:9999/rtp/233.50.201.122:5140$浙江联通组播源|1920x1080
CCTV-10,http://60.189.165.36:5555/rtp/233.50.201.122:5140$浙江电信组播源|1920x1080
CCTV-10,http://120.55.49.231:3095/rtp/233.50.201.122:5140$浙江电信组播源
CCTV-10,http://115.220.243.30:9999/rtp/233.50.201.122:5140$浙江电信组播源|1920x1080
CCTV-10,http://115.230.188.101:9999/rtp/233.50.201.122:5140$浙江电信组播源|1920x1080
CCTV-10,http://60.189.165.36:5555/rtp/233.50.201.10:5140$浙江电信组播源|1920x1080
CCTV-10,http://120.55.49.231:3095/rtp/233.50.201.10:5140$浙江电信组播源
CCTV-10,http://115.220.243.30:9999/rtp/233.50.201.10:5140$浙江电信组播源|1920x1080
CCTV-10,http://115.230.188.101:9999/rtp/233.50.201.10:5140$浙江电信组播源|1920x1080
CCTV-10,http://121.233.190.83:8600/rtp/239.49.8.134:6000$江苏电信组播源|1920x1080
CCTV-11,http://kxrj.site:998/123/mg.php?id=cctv11$订阅源
CCTV-11,http://121.24.98.232:8090/hls/19/index.m3u8$订阅源
CCTV-11,http://118.122.189.74:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-11,http://124.128.73.58:9901/tsfile/live/0011_1.m3u8$订阅源
CCTV-11,http://222.134.245.16:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源|1920x1080
CCTV-11,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8$订阅源
CCTV-11,http://39.98.201.151:9090/udp/225.1.8.73:8120$订阅源
CCTV-11,http://117.27.190.42:9998/tsfile/live/23242_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-11,http://[2409:8087:74f0:22::4]:6410/270000001128/9900000508/index.m3u8?channel-id=newtv&livemode=4&Contentid=9900000508$订阅源
CCTV-11,http://116.128.242.83:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-11,http://101.68.81.44:9999/rtp/233.50.201.11:5140$浙江联通组播源|1920x1080
CCTV-11,http://60.189.165.36:5555/rtp/233.50.201.11:5140$浙江电信组播源|1920x1080
CCTV-11,http://120.55.49.231:3095/rtp/233.50.201.11:5140$浙江电信组播源
CCTV-11,http://115.220.243.30:9999/rtp/233.50.201.11:5140$浙江电信组播源|1920x1080
CCTV-11,http://115.230.188.101:9999/rtp/233.50.201.11:5140$浙江电信组播源|1920x1080
CCTV-11,http://121.233.190.83:8600/rtp/239.49.1.11:6000$江苏电信组播源|1920x1080
CCTV-11,http://49.79.76.196:4000/rtp/239.49.1.11:6000$江苏电信组播源|1920x1080
CCTV-11,http://49.86.209.44:8800/rtp/239.49.1.11:6000$江苏电信组播源|1920x1080
CCTV-11,http://114.232.146.116:7777/rtp/239.49.1.11:6000$江苏电信组播源|1920x1080
CCTV-11,http://121.224.240.233:8887/rtp/239.49.1.11:6000$江苏电信组播源|1920x1080
CCTV-12,http://122.139.47.206:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=0&authid=0$订阅源|1920x1080
CCTV-12,http://202.103.213.10:8888/udp/239.81.0.24:4056$订阅源|1920x1080
CCTV-12,http://[2409:8087:74d9:21::6]:80/270000001322/69900158041111100000002147/index.m3u8$订阅源
CCTV-12,http://171.8.138.74:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源|1920x1080
CCTV-12,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/2/224/3221225731/2.m3u8$订阅源
CCTV-12,http://59.62.8.250:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源
CCTV-12,http://39.98.201.151:9090/udp/225.1.8.12:8124$订阅源
CCTV-12,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/8/3221225731/index.m3u8$订阅源
CCTV-12,http://110.177.146.171:888/udp/239.1.1.19:8019$订阅源|1920x1080
CCTV-12,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226568/index.m3u8$订阅源
CCTV-12,http://101.68.81.44:9999/rtp/233.50.201.123:5140$浙江联通组播源|1920x1080
CCTV-12,http://60.189.165.36:5555/rtp/233.50.201.123:5140$浙江电信组播源|1920x1080
CCTV-12,http://120.55.49.231:3095/rtp/233.50.201.123:5140$浙江电信组播源
CCTV-12,http://115.220.243.30:9999/rtp/233.50.201.123:5140$浙江电信组播源|1920x1080
CCTV-12,http://115.230.188.101:9999/rtp/233.50.201.123:5140$浙江电信组播源|1920x1080
CCTV-12,http://60.189.165.36:5555/rtp/233.50.201.12:5140$浙江电信组播源|1920x1080
